Titel;Weak_Grasp
TimeStamp;27.10.2018 00:07:51
Channels;3
1;0.8;556;395;3;;;;;;
2;0.23;552;386;4;;;;;;
3;0.38;542;381;4;;;;;;
4;0.54;562;389;4;;;;;;
5;0.69;572;399;4;;;;;;
6;0.85;560;399;5;;;;;;
7;0.100;533;378;4;;;;;;
8;0.116;550;388;4;;;;;;
9;0.132;576;396;5;;;;;;
10;0.160;535;378;4;;;;;;
11;0.165;563;397;5;;;;;;
12;0.179;542;385;4;;;;;;
13;0.194;560;394;4;;;;;;
14;0.210;578;403;5;;;;;;
15;0.225;558;401;5;;;;;;
16;0.241;534;379;4;;;;;;
17;0.257;548;392;4;;;;;;
18;0.272;572;397;4;;;;;;
19;0.288;557;404;4;;;;;;
20;0.304;559;400;4;;;;;;
21;0.319;535;389;4;;;;;;
22;0.335;556;389;4;;;;;;
23;0.350;573;394;4;;;;;;
24;0.366;546;377;4;;;;;;
25;0.382;538;361;4;;;;;;
26;0.397;544;392;4;;;;;;
27;0.413;564;394;4;;;;;;
28;0.429;554;443;5;;;;;;
29;0.444;549;388;4;;;;;;
30;0.460;525;404;4;;;;;;
31;0.475;547;522;6;;;;;;
32;0.491;573;505;4;;;;;;
33;0.507;543;486;4;;;;;;
34;0.522;536;492;4;;;;;;
35;0.538;534;513;4;;;;;;
36;0.554;557;649;6;;;;;;
37;0.569;550;891;8;;;;;;
38;0.585;538;774;4;;;;;;
39;0.600;510;871;5;;;;;;
40;0.616;531;796;3;;;;;;
41;0.632;581;805;4;;;;;;
42;0.647;568;791;5;;;;;;
43;0.663;577;874;5;;;;;;
44;0.679;575;913;5;;;;;;
45;0.694;588;853;4;;;;;;
46;0.710;583;771;3;;;;;;
47;0.725;562;816;5;;;;;;
48;0.741;544;782;4;;;;;;
49;0.757;560;825;4;;;;;;
50;0.772;583;897;5;;;;;;
51;0.788;581;966;6;;;;;;
52;0.804;574;889;4;;;;;;
53;0.819;552;818;3;;;;;;
54;0.835;576;860;4;;;;;;
55;0.850;585;748;3;;;;;;
56;0.866;577;785;4;;;;;;
57;0.882;567;786;4;;;;;;
58;0.897;586;723;3;;;;;;
59;0.913;603;679;3;;;;;;
60;0.929;594;643;4;;;;;;
61;0.944;581;675;5;;;;;;
62;0.960;548;616;3;;;;;;
63;0.975;567;645;4;;;;;;
64;0.991;585;628;4;;;;;;
65;1.7;555;569;3;;;;;;
66;1.22;555;490;3;;;;;;
67;1.38;554;479;3;;;;;;
68;1.54;567;461;4;;;;;;
69;1.69;567;455;4;;;;;;
70;1.85;559;449;4;;;;;;
71;1.100;534;396;3;;;;;;
72;1.116;552;395;4;;;;;;
73;1.132;577;401;4;;;;;;
74;1.147;550;407;4;;;;;;
75;1.166;551;407;4;;;;;;
76;1.179;541;366;4;;;;;;
77;1.194;559;370;4;;;;;;
78;1.210;573;378;5;;;;;;
79;1.225;556;372;5;;;;;;
80;1.241;529;328;3;;;;;;
81;1.257;547;338;4;;;;;;
82;1.273;571;345;4;;;;;;
83;1.288;553;355;4;;;;;;
84;1.304;557;338;4;;;;;;
85;1.319;537;317;3;;;;;;
86;1.335;556;330;4;;;;;;
87;1.350;574;346;4;;;;;;
88;1.366;551;349;5;;;;;;
89;1.382;534;315;4;;;;;;
90;1.397;544;324;4;;;;;;
91;1.413;568;337;4;;;;;;
92;1.429;560;348;5;;;;;;
93;1.444;558;339;4;;;;;;
94;1.460;535;316;3;;;;;;
95;1.475;554;333;4;;;;;;
96;1.491;577;348;4;;;;;;
97;1.507;550;355;5;;;;;;
98;1.522;542;329;4;;;;;;
99;1.538;541;330;4;;;;;;
100;1.554;563;342;4;;;;;;
101;1.569;564;354;4;;;;;;
102;1.585;561;353;4;;;;;;
103;1.600;533;329;3;;;;;;
104;1.616;550;344;4;;;;;;
105;1.632;575;358;4;;;;;;
106;1.647;546;364;5;;;;;;
107;1.663;548;347;4;;;;;;
108;1.679;540;343;4;;;;;;
109;1.694;561;355;4;;;;;;
110;1.710;572;368;5;;;;;;
111;1.725;560;369;5;;;;;;
112;1.741;529;343;3;;;;;;
113;1.757;547;357;4;;;;;;
114;1.772;571;368;4;;;;;;
115;1.788;551;373;5;;;;;;
116;1.804;554;365;5;;;;;;
117;1.819;538;354;4;;;;;;
118;1.835;556;365;4;;;;;;
119;1.850;574;377;4;;;;;;
120;1.866;554;379;5;;;;;;
121;1.882;532;355;4;;;;;;
122;1.897;545;366;4;;;;;;
123;1.913;570;375;4;;;;;;
124;1.929;558;381;4;;;;;;
125;1.944;559;378;5;;;;;;
126;1.960;536;364;4;;;;;;
127;1.975;558;375;4;;;;;;
128;1.992;578;384;4;;;;;;
129;2.7;552;387;4;;;;;;
130;2.22;544;369;4;;;;;;
131;2.38;545;373;4;;;;;;
132;2.54;567;381;4;;;;;;
133;2.69;563;388;4;;;;;;
134;2.85;560;389;4;;;;;;
