Titel;Strong_Grasp
TimeStamp;27.10.2018 00:22:43
Channels;3
1;0.6;444;398;3;;;;;;
2;0.21;426;385;3;;;;;;
3;0.41;426;385;3;;;;;;
4;0.53;462;402;4;;;;;;
5;0.67;440;400;4;;;;;;
6;0.83;426;385;3;;;;;;
7;0.99;434;392;4;;;;;;
8;0.114;456;399;4;;;;;;
9;0.130;449;399;4;;;;;;
10;0.146;446;400;5;;;;;;
11;0.161;427;387;3;;;;;;
12;0.177;443;397;4;;;;;;
13;0.192;463;404;4;;;;;;
14;0.208;436;400;5;;;;;;
15;0.224;432;388;4;;;;;;
16;0.242;421;382;4;;;;;;
17;0.255;451;396;4;;;;;;
18;0.271;454;399;4;;;;;;
19;0.286;445;398;5;;;;;;
20;0.302;422;385;3;;;;;;
21;0.317;441;408;4;;;;;;
22;0.333;464;442;5;;;;;;
23;0.349;440;442;5;;;;;;
24;0.364;450;416;4;;;;;;
25;0.380;444;452;4;;;;;;
26;0.396;455;483;4;;;;;;
27;0.411;464;510;4;;;;;;
28;0.427;439;549;5;;;;;;
29;0.442;426;522;4;;;;;;
30;0.458;425;587;5;;;;;;
31;0.474;446;667;5;;;;;;
32;0.489;433;650;5;;;;;;
33;0.505;425;706;5;;;;;;
34;0.521;427;707;4;;;;;;
35;0.536;433;709;4;;;;;;
36;0.552;460;788;5;;;;;;
37;0.567;440;725;4;;;;;;
38;0.583;433;770;5;;;;;;
39;0.599;444;808;4;;;;;;
40;0.614;465;789;4;;;;;;
41;0.630;454;914;6;;;;;;
42;0.646;455;792;3;;;;;;
43;0.661;449;906;5;;;;;;
44;0.677;463;800;3;;;;;;
45;0.692;475;882;5;;;;;;
46;0.708;461;849;4;;;;;;
47;0.724;456;835;4;;;;;;
48;0.739;450;920;5;;;;;;
49;0.755;483;967;5;;;;;;
50;0.771;482;967;5;;;;;;
51;0.786;468;965;5;;;;;;
52;0.802;432;873;3;;;;;;
53;0.817;450;903;4;;;;;;
54;0.833;484;856;4;;;;;;
55;0.849;463;753;3;;;;;;
56;0.864;470;771;4;;;;;;
57;0.880;455;750;3;;;;;;
58;0.896;481;797;4;;;;;;
59;0.911;490;778;4;;;;;;
60;0.927;467;686;4;;;;;;
61;0.942;470;688;4;;;;;;
62;0.958;510;739;5;;;;;;
63;0.974;500;697;4;;;;;;
64;0.989;490;744;5;;;;;;
65;1.5;490;807;5;;;;;;
66;1.21;475;738;3;;;;;;
67;1.36;477;696;3;;;;;;
68;1.53;510;685;4;;;;;;
69;1.67;505;806;6;;;;;;
70;1.83;488;853;5;;;;;;
71;1.99;483;835;3;;;;;;
72;1.114;497;767;3;;;;;;
73;1.130;484;834;5;;;;;;
74;1.146;496;771;4;;;;;;
75;1.161;464;707;2;;;;;;
76;1.177;488;652;3;;;;;;
77;1.192;500;629;4;;;;;;
78;1.208;480;567;4;;;;;;
79;1.224;480;551;4;;;;;;
80;1.242;453;625;5;;;;;;
81;1.255;466;594;4;;;;;;
82;1.271;480;567;4;;;;;;
83;1.286;459;556;5;;;;;;
84;1.302;440;602;4;;;;;;
85;1.317;442;608;4;;;;;;
86;1.333;473;590;4;;;;;;
87;1.349;447;545;4;;;;;;
88;1.364;456;489;4;;;;;;
89;1.380;456;453;3;;;;;;
90;1.396;466;446;4;;;;;;
91;1.411;467;443;4;;;;;;
92;1.427;441;426;4;;;;;;
93;1.442;419;375;3;;;;;;
94;1.458;441;378;3;;;;;;
95;1.474;459;385;4;;;;;;
96;1.489;440;387;4;;;;;;
97;1.505;438;365;4;;;;;;
98;1.521;426;338;3;;;;;;
99;1.536;442;349;4;;;;;;
100;1.552;453;361;5;;;;;;
101;1.567;430;361;5;;;;;;
102;1.583;420;326;3;;;;;;
103;1.599;429;327;4;;;;;;
104;1.614;449;340;4;;;;;;
105;1.630;441;350;5;;;;;;
106;1.646;441;342;5;;;;;;
107;1.661;422;313;3;;;;;;
108;1.677;439;327;4;;;;;;
109;1.692;459;342;4;;;;;;
110;1.708;434;346;5;;;;;;
111;1.724;430;316;4;;;;;;
112;1.739;427;313;4;;;;;;
113;1.755;447;326;4;;;;;;
114;1.771;450;338;5;;;;;;
115;1.786;442;334;5;;;;;;
116;1.802;419;303;3;;;;;;
117;1.817;435;320;4;;;;;;
118;1.833;456;334;4;;;;;;
119;1.849;437;338;5;;;;;;
120;1.865;445;328;5;;;;;;
121;1.880;429;313;3;;;;;;
122;1.896;446;328;4;;;;;;
123;1.911;459;341;4;;;;;;
124;1.927;446;340;5;;;;;;
125;1.942;423;311;3;;;;;;
126;1.958;436;326;4;;;;;;
127;1.974;458;339;4;;;;;;
128;1.989;446;343;5;;;;;;
129;2.5;447;335;4;;;;;;
130;2.21;428;321;3;;;;;;
131;2.36;445;336;4;;;;;;
132;2.53;463;347;5;;;;;;
133;2.68;444;350;5;;;;;;
134;2.83;435;328;4;;;;;;
135;2.99;434;331;4;;;;;;
136;2.115;455;345;4;;;;;;
137;2.130;453;352;4;;;;;;
138;2.146;452;348;4;;;;;;
139;2.161;429;329;3;;;;;;
140;2.177;443;344;4;;;;;;
